"movie","year_of_award","avg_vote","genre","duration","country","period","count","sumMovies"
"On The Waterfront",1955,8.1,"Drama",108,"USA","1947 - 1963",5,1755
"On The Waterfront",1955,8.1,"Thriller",108,"USA","1947 - 1963",3,41
"One Flew Over The Cuckoo's Nest",1976,8.7,"Drama",133,"USA","1964 - 1980",4,1755
"Ordinary People",1981,7.7,"Drama",124,"USA","1981 - 1997",5,1755
"Out Of Africa",1986,7.2,"Biography",161,"USA, UK","1981 - 1997",1,147
"Out Of Africa",1986,7.2,"Drama",161,"USA, UK","1981 - 1997",5,1755
"Out Of Africa",1986,7.2,"Romance",161,"USA, UK","1981 - 1997",1,336
"Paper Moon",1974,8.1,"Comedy",102,"USA","1964 - 1980",4,161
"Paper Moon",1974,8.1,"Drama",102,"USA","1964 - 1980",4,1755
"Patton",1971,7.9,"Biography",172,"USA","1964 - 1980",2,147
"Patton",1971,7.9,"Drama",172,"USA","1964 - 1980",5,1755
"Patton",1971,7.9,"War",172,"USA","1964 - 1980",2,83
"Philadelphia",1994,7.7,"Drama",125,"USA","1981 - 1997",5,1755
"Places In The Heart",1985,7.3,"Drama",111,"USA","1981 - 1997",5,1755
"Platoon",1987,8.1,"Drama",120,"USA, UK","1981 - 1997",5,1755
"Platoon",1987,8.1,"War",120,"USA, UK","1981 - 1997",1,83
"Pollock",2001,7,"Biography",122,"USA","1998 - 2014",2,147
"Pollock",2001,7,"Drama",122,"USA","1998 - 2014",5,1755
"Precious",2010,7.3,"Drama",110,"USA","1998 - 2014",5,1755
"Prizzi's Honor",1986,6.7,"Comedy",130,"USA","1981 - 1997",2,161
"Prizzi's Honor",1986,6.7,"Crime",130,"USA","1981 - 1997",1,126
"Prizzi's Honor",1986,6.7,"Drama",130,"USA","1981 - 1997",5,1755
"Raging Bull",1981,8.2,"Biography",129,"USA","1981 - 1997",2,147
"Raging Bull",1981,8.2,"Drama",129,"USA","1981 - 1997",5,1755
"Raging Bull",1981,8.2,"Sport",129,"USA","1981 - 1997",1,21
"Rain Man",1989,8,"Drama",133,"USA","1981 - 1997",4,1755
"Ray",2005,7.7,"Biography",152,"USA","1998 - 2014",2,147
"Ray",2005,7.7,"Drama",152,"USA","1998 - 2014",5,1755
"Ray",2005,7.7,"Music",152,"USA","1998 - 2014",1,26
"Reds",1982,7.3,"Biography",195,"USA","1981 - 1997",2,147
"Reds",1982,7.3,"Drama",195,"USA","1981 - 1997",4,1755
"Reds",1982,7.3,"History",195,"USA","1981 - 1997",2,80
"Reversal Of Fortune",1991,7.2,"Biography",111,"USA, Japan, UK","1981 - 1997",2,147
"Reversal Of Fortune",1991,7.2,"Drama",111,"USA, Japan, UK","1981 - 1997",5,1755
"Reversal Of Fortune",1991,7.2,"Mystery",111,"USA, Japan, UK","1981 - 1997",1,16
"Rocky",1977,8.1,"Drama",120,"USA","1964 - 1980",5,1755
"Rocky",1977,8.1,"Sport",120,"USA","1964 - 1980",1,21
"Roman Holiday",1954,8,"Comedy",118,"USA","1947 - 1963",2,161
"Roman Holiday",1954,8,"Romance",118,"USA","1947 - 1963",4,336
"Room At The Top",1960,7.5,"Drama",117,"UK","1947 - 1963",5,1755
"Room At The Top",1960,7.5,"Romance",117,"UK","1947 - 1963",1,336
"Rosemary's Baby",1969,8,"Drama",137,"USA","1964 - 1980",5,1755
"Rosemary's Baby",1969,8,"Horror",137,"USA","1964 - 1980",1,2
"Ryan's Daughter",1971,7.4,"Drama",206,"UK","1964 - 1980",5,1755
"Ryan's Daughter",1971,7.4,"Romance",206,"UK","1964 - 1980",2,336
"Save The Tiger",1974,6.9,"Drama",100,"USA","1964 - 1980",4,1755
"Saving Private Ryan",1999,8.6,"Drama",169,"USA","1998 - 2014",5,1755
"Saving Private Ryan",1999,8.6,"War",169,"USA","1998 - 2014",1,83
"Sayonara",1958,7.1,"Drama",147,"USA","1947 - 1963",5,1755
"Sayonara",1958,7.1,"Romance",147,"USA","1947 - 1963",2,336
"Scent Of A Woman",1993,8,"Drama",156,"USA","1981 - 1997",4,1755
"Schindler's List",1994,8.9,"Biography",195,"USA","1981 - 1997",1,147
"Schindler's List",1994,8.9,"Drama",195,"USA","1981 - 1997",5,1755
"Schindler's List",1994,8.9,"History",195,"USA","1981 - 1997",1,80
"Separate Tables",1959,7.4,"Drama",100,"USA","1947 - 1963",3,1755
"Separate Tables",1959,7.4,"Romance",100,"USA","1947 - 1963",4,336
"Sergeant York",1942,7.7,"Biography",134,"USA","1930 - 1946",1,147
"Sergeant York",1942,7.7,"Drama",134,"USA","1930 - 1946",5,1755
"Sergeant York",1942,7.7,"History",134,"USA","1930 - 1946",1,80
"Shakespeare In Love",1999,7.1,"Comedy",123,"USA, UK","1998 - 2014",3,161
"Shakespeare In Love",1999,7.1,"Drama",123,"USA, UK","1998 - 2014",5,1755
"Shakespeare In Love",1999,7.1,"History",123,"USA, UK","1998 - 2014",2,80
"Shampoo",1976,6.3,"Comedy",109,"USA","1964 - 1980",2,161
"Shampoo",1976,6.3,"Drama",109,"USA","1964 - 1980",4,1755
"Shine",1997,7.7,"Biography",105,"Australia","1981 - 1997",1,147
"Shine",1997,7.7,"Drama",105,"Australia","1981 - 1997",5,1755
"Shine",1997,7.7,"Music",105,"Australia","1981 - 1997",1,26
"Silver Linings Playbook",2013,7.7,"Comedy",122,"USA","1998 - 2014",1,161
"Silver Linings Playbook",2013,7.7,"Drama",122,"USA","1998 - 2014",5,1755
"Silver Linings Playbook",2013,7.7,"Romance",122,"USA","1998 - 2014",1,336
"Skippy",1932,6.3,"Comedy",85,"USA","1930 - 1946",1,161
"Skippy",1932,6.3,"Drama",85,"USA","1930 - 1946",3,1755
"Skippy",1932,6.3,"Family",85,"USA","1930 - 1946",1,20
"Slumdog Millionaire",2009,8,"Drama",120,"UK, India","1998 - 2014",5,1755
"Slumdog Millionaire",2009,8,"Romance",120,"UK, India","1998 - 2014",3,336
"Sophie's Choice",1983,7.6,"Drama",150,"UK, USA","1981 - 1997",5,1755
"Sophie's Choice",1983,7.6,"Romance",150,"UK, USA","1981 - 1997",3,336
"Spartacus",1961,7.9,"Adventure",197,"USA","1947 - 1963",1,38
"Spartacus",1961,7.9,"Biography",197,"USA","1947 - 1963",1,147
"Spartacus",1961,7.9,"Drama",197,"USA","1947 - 1963",5,1755
"Stagecoach",1940,7.9,"Adventure",96,"USA","1930 - 1946",1,38
"Stagecoach",1940,7.9,"Drama",96,"USA","1930 - 1946",5,1755
"Stagecoach",1940,7.9,"Western",96,"USA","1930 - 1946",1,25
"Stalag 17",1954,8,"Comedy",120,"USA","1947 - 1963",2,161
"Stalag 17",1954,8,"Drama",120,"USA","1947 - 1963",4,1755
"Stalag 17",1954,8,"War",120,"USA","1947 - 1963",4,83
"Sweet Bird Of Youth",1963,7.3,"Drama",120,"USA","1947 - 1963",5,1755
"Syriana",2006,6.9,"Drama",128,"USA, United Arab Emirates","1998 - 2014",5,1755
"Syriana",2006,6.9,"Thriller",128,"USA, United Arab Emirates","1998 - 2014",1,41
